Chemical_Name	SMILES	Type
dichlorvos	COP(=O)(OC)OC=C(Cl)Cl	ligand
Sodium dodecyl sulfate	CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]	ligand
linoleic acid	CCCCCC=CCC=CCCCCCCCC(=O)O	ligand
hexylresorcinol	CCCCCCC1=C(C=C(C=C1)O)O	ligand
estradiol	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O	ligand
losartan	CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl	ligand
pioglitazone hydrochloride	CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3.Cl	ligand
oxazepam	C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O	ligand
PHENYLHYDRAZINE HYDROCHLORIDE	C1=CC=C(C=C1)NN.Cl	ligand
Potassium warfarin	CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)[O-].[K+]	ligand
Pravadoline	CC1=C(C2=CC=CC=C2N1CCN3CCOCC3)C(=O)C4=CC=C(C=C4)OC	ligand
Romazarit	CC1=C(OC(=N1)C2=CC=C(C=C2)Cl)COC(C)(C)C(=O)O	ligand
temephos	COP(=S)(OC)OC1=CC=C(C=C1)SC2=CC=C(C=C2)OP(=S)(OC)OC	ligand
estradiol cypionate	CC12CCC3C(C1CCC2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O	not_ligand
tert-Butylhydroquinone	CC(C)(C)C1=C(C=CC(=C1)O)O	not_ligand
GERANIOL	CC(=CCCC(=CCO)C)C	not_ligand
PHENOL RED	C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O	not_ligand
2-ketoglutaric acid	C(CC(=O)O)C(=O)C(=O)O	not_ligand
Yohimbine	COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O	not_ligand
PYRIDOXAMINE DIHYDROCHLORIDE	CC1=NC=C(C(=C1O)CN)CO.Cl.Cl	not_ligand
4-Sulfamoylbenzoic acid	C1=CC(=CC=C1C(=O)O)S(=O)(=O)N	not_ligand
pridinol	C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O	not_ligand
Procodazole	C1=CC=C2C(=C1)NC(=N2)CCC(=O)O	not_ligand
sulfaquinoxaline	C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N	not_ligand
51-56-9	CN1C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O.Br	not_ligand
Scopolamine hydrobromide	CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4.Br	not_ligand
scopolamine methyl bromide	C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C.[Br-]	not_ligand
Phosphonoacetic acid	C(C(=O)O)P(=O)(O)O	not_ligand
mesoridazine	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C	not_ligand
domperidone	C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O	not_ligand
Pifexole	C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=NC=C3)Cl	not_ligand
zidovudine	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-]	not_ligand
azelaic acid	C(CCCC(=O)O)CCCC(=O)O	not_ligand
amoxapine	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl	not_ligand
4-aminopyridine	C1=CN=CC=C1N	not_ligand
Alaproclate	CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N	not_ligand
acetohexamide	CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2	not_ligand
amantadine	C1C2CC3CC1CC(C2)(C3)N	not_ligand
Tacrine	C1CCC2=NC3=CC=CC=C3C(=C2C1)N	not_ligand
azathioprine	CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]	not_ligand
acyclovir	C1=NC2=C(N1COCCO)NC(=NC2=O)N	not_ligand
aspirin	CC(=O)OC1=CC=CC=C1C(=O)O	not_ligand
amifostine	C(CN)CNCCSP(=O)(O)O	not_ligand
acetazolamide	CC(=O)NC1=NN=C(S1)S(=O)(=O)N	not_ligand
arecoline	CN1CCC=C(C1)C(=O)OC	not_ligand
6-aminohexanoic acid	C(CCC(=O)O)CCN	not_ligand
allopurinol	C1=C2C(=NC=NC2=O)NN1	not_ligand
alprenolol	CC(C)NCC(COC1=CC=CC=C1CC=C)O	not_ligand
altretamine	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C	not_ligand
aniracetam	COC1=CC=C(C=C1)C(=O)N2CCCC2=O	not_ligand
bumetanide	CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2	not_ligand
bepridil	CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3	not_ligand
baclofen	C1=CC(=CC=C1C(CC(=O)O)CN)Cl	not_ligand
betaxolol	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O	not_ligand
buspirone	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4	not_ligand
chlormezanone	CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl	not_ligand
cirazoline	C1CC1C2=CC=CC=C2OCC3=NCCN3	not_ligand
chlorambucil	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl	not_ligand
carmustine	C(CCl)NC(=O)N(CCCl)N=O	not_ligand
cilostazol	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4	not_ligand
Cyclophosphamide monohydrate	C1CNP(=O)(OC1)N(CCCl)CCCl.O	not_ligand
chlorpropamide	CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl	not_ligand
mitotane	C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl	not_ligand
carbamazepine	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N	not_ligand
chlorzoxazone	C1=CC2=C(C=C1Cl)NC(=O)O2	not_ligand
cimetidine	CC1=C(N=CN1)CSCCNC(=NC)NC#N	not_ligand
chlorothiazide	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2	not_ligand
cinnarizine	C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4	not_ligand
CYPROHEPTADINE	CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1	not_ligand
Fenclonine	C1=CC(=CC=C1CC(C(=O)O)N)Cl	not_ligand
Chloroquine diphosphate	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O	not_ligand
clofibrate	CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl	not_ligand
clonidine	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl	not_ligand
cinoxacin	CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3	not_ligand
carisoprodol	CCCC(C)(COC(=O)N)COC(=O)NC(C)C	not_ligand
Meclofenoxate hydrochloride	CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl.Cl	not_ligand
cyclothiazide	C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl	not_ligand
dobutamine	CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O	not_ligand
diphenhydramine	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2	not_ligand
Doxepin Hydrochloride	CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31.Cl	not_ligand
diazoxide	CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl	not_ligand
propofol	CC(C)C1=C(C(=CC=C1)C(C)C)O	not_ligand
ETHAMIVAN	CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC	not_ligand
ENOXIMONE	CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC	not_ligand
Edrophonium chloride	CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-]	not_ligand
Efaroxan	CCC1(CC2=CC=CC=C2O1)C3=NCCN3	not_ligand
EGTA	C(COCCOCCN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O	not_ligand
Furafylline	CC1=NC2=C(N1)C(=O)N(C(=O)N2CC3=CC=CO3)C	not_ligand
felbamate	C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N	not_ligand
fenofibrate	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl	not_ligand
flumazenil	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	not_ligand
5-Fluorouracil	C1=C(C(=O)NC(=O)N1)F	not_ligand
flecainide	C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F	not_ligand
fenoldopam	C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O	not_ligand
Famotidina	C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N	not_ligand
flutamide	CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F	not_ligand
felodipine	CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C	not_ligand
glipizide	CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3	not_ligand
gabapentin	C1CCC(CC1)(CC(=O)O)CN	not_ligand
guanfacine hydrochloride	C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl.Cl	not_ligand
ganciclovir	C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N	not_ligand
haloperidol	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F	not_ligand
HYDRALAZINE HYDROCHLORIDE	C1=CC=C2C(=C1)C=NN=C2NN.Cl	not_ligand
Velnacrine maleate	C1CC(C2=C(C3=CC=CC=C3N=C2C1)N)O.C(=CC(=O)O)C(=O)O	not_ligand
hydrochlorothiazide	C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl	not_ligand
histamine	C1=C(NC=N1)CCN	not_ligand
dopamine	C1=CC(=C(C=C1CCN)O)O	not_ligand
hydroxyurea	C(=O)(N)NO	not_ligand
ibuprofen	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O	not_ligand
isoproterenol	CC(C)NCC(C1=CC(=C(C=C1)O)O)O	not_ligand
Imiloxan	CCN1C=CN=C1CC2COC3=CC=CC=C3O2	not_ligand
ketotifen	CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1	not_ligand
Linopirdine	C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5	not_ligand
Loxoprofen	CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)O	not_ligand
lamotrigine	C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N	not_ligand
leflunomide	CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F	not_ligand
lidocaine	CCN(CC)CC(=O)NC1=C(C=CC=C1C)C	not_ligand
metolazone	CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl	not_ligand
metoclopramide	CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl	not_ligand
MOXONIDINE	CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC	not_ligand
mianserin	CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42	not_ligand
molsidomine	CCOC(=NC1=C[N+](=NO1)N2CCOCC2)[O-]	not_ligand
minoxidil	C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O	not_ligand
moxisylyte hydrochloride	CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCCN(C)C.Cl	not_ligand
Melatonin	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC	not_ligand
Procorum	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC.Cl	not_ligand
mecamylamine	CC1(C2CCC(C2)C1(C)NC)C	not_ligand
memantine	CC12CC3CC(C1)(CC(C3)(C2)N)C	not_ligand
nitrendipine	CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C	not_ligand
nimodipine	CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC	not_ligand
Nisoxetine	CNCCC(C1=CC=CC=C1)OC2=CC=CC=C2OC	not_ligand
nylidrin	CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O	not_ligand
Nialamide	C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2	not_ligand
nifedipine	CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC	not_ligand
nilutamide	CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C	not_ligand
NIMUSTINE	CC1=NC=C(C(=N1)N)CNC(=O)N(CCCl)N=O	not_ligand
octopamine	C1=CC(=CC=C1C(CN)O)O	not_ligand
oxolinic acid	CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O	not_ligand
oxymetazoline	CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C	not_ligand
Pirenperone	CC1=C(C(=O)N2C=CC=CC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F	not_ligand
pindolol	CC(C)NCC(COC1=CC=CC2=C1C=CN2)O	not_ligand
Palmitoylethanolamide	CCCCCCCCCCCCCCCC(=O)NCCO	not_ligand
pentoxifylline	CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C	not_ligand
PIRFENIDONE	CC1=CN(C(=O)C=C1)C2=CC=CC=C2	not_ligand
PAPAVERINE HYDROCHLORIDE	COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC.Cl	not_ligand
piracetam	C1CC(=O)N(C1)CC(=O)N	not_ligand
pyrilamine	CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2	not_ligand
piroxicam	CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3	not_ligand
Phenelzine sulfate	C1=CC=C(C=C1)CCNN.OS(=O)(=O)O	not_ligand
pyrazinamide	C1=CN=C(C=N1)C(=O)N	not_ligand
primidone	CCC1(C(=O)NCNC1=O)C2=CC=CC=C2	not_ligand
pirenzepine	CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4	not_ligand
Pargyline hydrochloride	CN(CC#C)CC1=CC=CC=C1.Cl	not_ligand
phenylbutazone	CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3	not_ligand
piribedil	C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=CC=N4	not_ligand
PROCAINAMIDE	CCN(CC)CCNC(=O)C1=CC=C(C=C1)N	not_ligand
propentofylline	CCCN1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(=O)C	not_ligand
PROCAINE HYDROCHLORIDE	CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.Cl	not_ligand
QUIPAZINE MALEATE	C1CN(CCN1)C2=NC3=CC=CC=C3C=C2.C(=CC(=O)O)C(=O)O	not_ligand
ranitidine	CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C	not_ligand
ritanserin	CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3	not_ligand
riluzole	C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N	not_ligand
risperidone	CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	not_ligand
ropinirole	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1	not_ligand
RANOLAZINE	CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O	not_ligand
Spiroxatrine	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CC4COC5=CC=CC=C5O4	not_ligand
sulfaphenazole	C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N	not_ligand
SR 57227A	C1CN(CCC1N)C2=NC(=CC=C2)Cl.Cl	not_ligand
Siguazodan	CC1CC(=O)NN=C1C2=CC=C(C=C2)NC(=NC)NC#N	not_ligand
Salbutamol	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	not_ligand
spiperone	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F	not_ligand
sulindac	CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O	not_ligand
gaboxadol	C1CNCC2=C1C(=O)NO2	not_ligand
tropisetron	CN1C2CCC1CC(C2)OC(=O)C3=CNC4=CC=CC=C43	not_ligand
Tracazolate hydrochloride	CCCCNC1=C2C=NN(C2=NC(=C1C(=O)OCC)C)CC.Cl	not_ligand
Telenzepine	CC1=C2C(=CS1)C(=O)NC3=CC=CC=C3N2C(=O)CN4CCN(CC4)C	not_ligand
thalidomide	C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O	not_ligand
Tiapride hydrochloride	CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl	not_ligand
taurine	C(CS(=O)(=O)O)N	not_ligand
tolbutamide	CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C	not_ligand
tolazamide	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2	not_ligand
tyramine	C1=CC(=CC=C1CCN)O	not_ligand
theobromine	CN1C=NC2=C1C(=O)NC(=O)N2C	not_ligand
dl-Thioctic acid	C1CSSC1CCCCC(=O)O	not_ligand
Trazodone hydrochloride	C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl	not_ligand
Tyrphostin 23	C1=CC(=C(C=C1C=C(C#N)C#N)O)O	not_ligand
Trim	C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2	not_ligand
Tetracaine hydrochloride	CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.Cl	not_ligand
trimethoprim	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	not_ligand
tropicamide	CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2	not_ligand
brimonidine	C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br	not_ligand
NONIVAMIDE	CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC	not_ligand
xylazine	CC1=C(C(=CC=C1)C)NC2=NCCCS2	not_ligand
Xylometazoline hydrochloride	CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C.Cl	not_ligand
zaprinast	CCCOC1=CC=CC=C1C2=NC(=O)C3=NNNC3=N2	not_ligand
zardaverine	COC1=C(C=CC(=C1)C2=NNC(=O)C=C2)OC(F)F	not_ligand
Loxapine succinate	CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl.C(CC(=O)O)C(=O)O	not_ligand
Pempidine d-tartaric acid	CC1(CCCC(N1C)(C)C)C.C(C(C(=O)O)O)(C(=O)O)O	not_ligand
l-ascorbic acid	C(C(C1C(=C(C(=O)O1)O)O)O)O	not_ligand
PRALIDOXIME CHLORIDE	CN1C=CC=CC1=C[NH+]=O.[Cl-]	not_ligand
DSSTox_CID_1478	CC12CCC3C(C1CCC2(C#C)O)CCC4=CCCCC34	not_ligand
METHANTHELINE BROMIDE	CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13.[Br-]	not_ligand
furosemide	C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl	not_ligand
metyrapone	CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2	not_ligand
idoxuridine	C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O	not_ligand
chlorhexidine	C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl	not_ligand
probenecid	CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O	not_ligand
sulfaguanidine	C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N	not_ligand
testosterone propionate	CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C	not_ligand
sulfinpyrazone	C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4	not_ligand
aminophenazone	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C	not_ligand
nicotinic acid	C1=CC(=CN=C1)C(=O)O	not_ligand
Tolazoline hydrochloride	C1CN=C(N1)CC2=CC=CC=C2.Cl	not_ligand
guanethidine sulfate	C1CCCN(CCC1)CCN=C(N)N.OS(=O)(=O)O.OS(=O)(=O)O	not_ligand
methimazole	CN1C=CNC1=S	not_ligand
antipyrine	CC1=CC(=O)N(N1C)C2=CC=CC=C2	not_ligand
Zoxazolamine	C1=CC2=C(C=C1Cl)N=C(O2)N	not_ligand
phenacetin	CCOC1=CC=C(C=C1)NC(=O)C	not_ligand
Methacholine chloride	CC(C[N+](C)(C)C)OC(=O)C.[Cl-]	not_ligand
DIPHEMANIL METHYLSULFATE	C[N+]1(CCC(=C(C2=CC=CC=C2)C3=CC=CC=C3)CC1)C.COS(=O)(=O)[O-]	not_ligand
primaquine diphosphate	CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2.OP(=O)(O)O.OP(=O)(O)O	not_ligand
sulfanilamide	C1=CC(=CC=C1N)S(=O)(=O)N	not_ligand
TETRACYCLINE HYDROCHLORIDE	CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl	not_ligand
Desoxycortone	CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C	not_ligand
vitamin B12	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]	not_ligand
D-cycloserine	C1C(C(=O)NO1)N	not_ligand
isopropamide	CC(C)[N+](C)(CCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N)C(C)C	not_ligand
sulfathiazole	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2	not_ligand
phentolamine	CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O	not_ligand
BENDROFLUMETHIAZIDE	C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2	not_ligand
QUINETHAZONE	CCC1NC2=CC(=C(C=C2C(=O)N1)S(=O)(=O)N)Cl	not_ligand
MEPENZOLATE BROMIDE	C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-]	not_ligand
pyrithyldione	CCC1(C(=O)C=CNC1=O)CC	not_ligand
chlorthalidone	C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O	not_ligand
ethosuximide	CCC1(CC(=O)NC1=O)C	not_ligand
dapsone	C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N	not_ligand
Sulfachloropyridazine	C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl	not_ligand
sulfamethoxypyridazine	COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N	not_ligand
khellin	CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC	not_ligand
phenindione	C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O	not_ligand
methylprednisolone	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O	not_ligand
