PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
2992,144210004,23702994,Inconclusive,30,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Enzo
5692,144212704,23703451,Inactive,0,,,active antagonist,active antagonist,9.43844,-54.5396,inactive,,0,inconclusive antagonist,22.3821,-69.4309,inactive,,0,SIGMA
5190,144212202,23703979,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
7659,170465253,23704143,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
7196,170464790,23706212,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Tocris
379,144207391,23707968,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
1904,144208916,23707968,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inconclusive antagonist,,,SIGMA
3812,144210824,23707968,Inconclusive,30,,,inconclusive,active agonist,6.6819,36.738,inactive,,0,inactive,,0,inactive,,0,Vitas
5693,144212705,24180685,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,Vitas
3898,144210910,24180686,Inconclusive,10,,,inconclusive,inconclusive agonist,,14.1615,inconclusive antagonist,,-42.5565,inconclusive antagonist,16.7842,-150.248,active antagonist,18.8322,-113.642,Microsource
4041,144211053,24180709,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
65,144206453,24194381,Inactive,0,,,active antagonist,active antagonist,8.74112,-130.529,active agonist,13.3322,189.345,active antagonist,14.1221,-134.528,inconclusive antagonist,6.6819,-26.1462,Vitas
58,144206446,24721009,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
3560,144210572,24798733,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,2.37083,67.9991,inactive,,0,Tocris
47,144206433,24802109,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Vitas
3570,144210582,24809526,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,active agonist,23.7083,55.3192,inactive,,0,Vitas
3558,144210570,24852044,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
2258,144209270,24860538,Inactive,0,,,inconclusive,inconclusive,,,inconclusive agonist,33.4889,27.9062,inconclusive antagonist,,,inactive,,0,Specs
3480,144210492,24860538,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,SIGMA
8517,170466111,24871267,Inactive,0,,,inconclusive,inconclusive agonist,,,inactive,,0,inconclusive,,,inactive,,0,SIGMA
3037,144210049,24884197,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
9303,170466897,24905147,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,Sequoia
2838,144209850,24944555,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Prestwick
9302,170466896,24964624,Inconclusive,5,,,inconclusive antagonist (cytotoxic),active antagonist,25.5996,-95.6725,active agonist,33.4889,40.7319,active antagonist,26.6011,-146.545,active antagonist,31.0147,-61.7404,Microsource
8861,170466455,24978536,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,33.4889,93.0488,inactive,,0,Labotest
6814,144213826,25015677,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
3568,144210580,25099474,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
1260,144208272,25150753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,29.847,63.6267,inactive,,0,SIGMA
7308,170464902,25150753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
2983,144209995,25153273,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,33.4889,188.275,inactive,,0,Sequoia
816,144207828,25171607,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,GVK
7805,170465399,25181561,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Prestwick
7344,170464938,37888454,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
8916,170466510,44134533,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4843,144211855,44135445,Inactive,0,,,inconclusive agonist (cytotoxic),inconclusive agonist,21.13,87.9076,inactive,,0,inconclusive agonist,13.3322,440.497,inconclusive antagonist,23.7083,-114.288,Microsource
5393,144212405,44135675,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,17.7232,inactive,,0,SIGMA
3543,144210555,44235958,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,Prestwick
165,144206881,44341259,Inconclusive,10,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2859,144209871,44373822,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
6752,144213764,44555481,Inactive,0,,,inconclusive antagonist (cytotoxic),active antagonist,23.7083,-79.9489,inactive,,0,active antagonist,31.6155,-148.643,inconclusive antagonist,29.847,-100.054,Labotest
3572,144210584,44578765,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,Microsource
768,144207780,44630019,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,2.113,53.6524,inactive,,0,Tocris
2889,144209901,44717198,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,10.5901,75.7385,inactive,,0,Microsource
7582,170465176,45006154,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,13.3322,-58.9676,inactive,,0,active antagonist,0.276418,-57.933,active antagonist,10.5901,-53.6442,GVK
9042,170466636,45073437,Inactive,0,,,active antagonist,active antagonist,4.73043,-36.7672,inconclusive agonist,7.49722,56.8335,active antagonist,14.9589,-86.2711,inactive,,0,SIGMA
2870,144209882,45268380,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inconclusive agonist,,,Enzo
83,144206509,45357485,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,3.34889,-40.235,inactive,,0,GVK
2815,144209827,46226173,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,Labotest
9194,170466788,46780884,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,Specs
28,144206399,46783063,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
9301,170466895,46861540,Inconclusive,20,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Labotest
2820,144209832,50878556,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,SIGMA
2832,144209844,50878565,Inactive,0,,,active antagonist,active antagonist,13.3322,-80.9395,active agonist,11.8823,38.3252,active antagonist,12.3472,-96.1645,inactive,,0,GVK
7624,170465218,50878597,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
4008,144211020,51346588,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
5522,144212534,53249535,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Prestwick
3523,144210535,53257735,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,42.98,43.8204,inactive,,0,Labotest
785,144207797,53260965,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
3537,144210549,53316379,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inconclusive agonist,,,Tocris
3551,144210563,53316380,Inconclusive,10,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inconclusive antagonist,28.1774,-87.4546,Tocris
3554,144210566,53316382,Active,50,,,inconclusive agonist,inconclusive agonist,5.30763,37.2642,inactive,,0,inconclusive agonist,16.7842,106.354,inactive,,0,SIGMA
3636,144210648,53316391,Inactive,0,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,0.530763,-34.9316,inactive,,0,Microsource
3769,144210781,53316393,Inconclusive,30,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Microsource
3532,144210544,53316396,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,1.28302,-88.468,active agonist,1.38537,37.4404,active antagonist,2.19567,-115.2,inconclusive antagonist,3.75751,-35.5647,Tocris
3777,144210789,53316398,Inconclusive,25,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,10.5901,41.9982,inactive,,0,Vitas
4204,144211216,53316400,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Vitas
739,144207751,53316406,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2824,144209836,53316406,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,33.4889,-51.6775,inactive,,0,active antagonist,11.8823,-54.2611,active antagonist,33.4889,-44.8792,SIGMA
780,144207792,53316407,Inconclusive,5,,,inconclusive agonist,inconclusive agonist,29.847,62.843,inactive,,0,inconclusive agonist,29.847,76.0083,inactive,,0,Labotest
800,144207812,53316409,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,0.0730574,-27.7414,Enzo
811,144207823,53316417,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
1011,144208023,53316418,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Microsource
84,144206513,53384398,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,6.07375,inactive,,0,Labotest
8873,170466467,53398649,Inactive,0,,,inconclusive antagonist,inconclusive antagonist,33.4889,-43.5172,inactive,,0,inconclusive antagonist,,-52.8139,inactive,,0,Labotest
2313,144209325,54670067,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
6263,144213275,54670067,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7134,170464728,54670067,Inconclusive,10,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
9294,170466888,54671008,Inconclusive,10,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
3458,144210470,54675776,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
5685,144212697,54675779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,7.07783,-55.8804,inactive,,0,"Prestwick Chemical, Inc."
1297,144208309,54675810,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7681,170465275,54676038,Active,63,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
337,144207349,54676228,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Vitas
7223,170464817,54676228,Inactive,0,,,inconclusive antagonist,inconclusive antagonist,26.6011,-70.5623,inactive,,0,active antagonist,8.41202,-141.913,inactive,,0,Enzo
8660,170466254,54676478,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
8042,170465636,54676537,Inactive,0,,,active antagonist,active antagonist,8.41202,-92.0922,active agonist,10.1914,73.8742,active antagonist,9.80769,-91.2476,active antagonist,25.1131,-96.8002,Labotest
1875,144208887,54677470,Inconclusive,5,,,active antagonist,active antagonist,12.8302,-90.3903,inconclusive agonist,,,active antagonist,17.4408,-140.84,inconclusive antagonist,,,Microsource
6061,144213073,54677470,Inconclusive,30,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Tocris
7263,170464857,54677470,Inactive,0,,,active antagonist,active antagonist,28.7233,-60.5406,inactive,,0,active antagonist,7.79053,-65.7069,inconclusive antagonist,,,Bionet
8083,170465677,54677971,Inactive,0,,,inconclusive,inconclusive,,,inconclusive agonist,21.13,66.252,active agonist,10.5901,142.444,active antagonist,5.51527,-70.4922,Vitas
8740,170466334,54677972,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,6.6819,-194.84,inactive,,0,Labotest
2368,144209380,54678486,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Prestwick
3837,144210849,54678486,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,49.3015,inactive,,0,Microsource
4557,144211569,54678504,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,Vitas
8454,170466048,54679224,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,1.05901,-43.5591,inactive,,0,Enzo
5225,144212237,54680085,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,11.8823,325.068,inactive,,0,Tocris
8155,170465749,54680085,Active,53,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,Labotest
5231,144212243,54680660,Inactive,0,,,active antagonist,active antagonist,1.61523,-55.4193,inactive,,0,active antagonist,1.77787,-72.7668,active antagonist,9.08309,-42.2936,Vitas
3984,144210996,54680691,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,Sequoia
8325,170465919,54680694,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2036,144209048,54680782,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
3906,144210918,54680782,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,55.8208,inactive,,0,Labotest
5015,144212027,54682468,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
6830,144213842,54682536,Inactive,0,,,inconclusive,inconclusive agonist,9.9977,67.623,inconclusive antagonist,22.3821,-70.4294,active antagonist,28.1774,-164.295,active antagonist,13.3322,-90.6968,Microsource
5165,144212177,54682651,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
7630,170465224,54685047,Inconclusive,30,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
8558,170466152,54685524,Inconclusive,5,,,active antagonist,active antagonist,18.1231,-73.9095,active agonist,13.8537,37.8848,inconclusive antagonist,21.13,-50.7099,inactive,,0,Selleck
7503,170465097,54685920,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4895,144211907,54685925,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
7455,170465049,54685925,Inactive,0,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,18.8322,-52.1761,inactive,,0,active antagonist,33.4889,-107.403,active antagonist,25.5996,-104.119,Prestwick
7611,170465205,54686764,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,9.43844,77.8742,inactive,,0,Tocris
69,144206463,54686904,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,APAC
3735,144210747,54687772,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,3.54732,37.8207,inactive,,0,GVK
8579,170466173,54688686,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inconclusive,,,Microsource
8981,170466575,54704052,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
702,144207714,54704426,Inconclusive,5,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,29.847,-52.4382,inactive,,0,inconclusive antagonist,10.5901,-79.4285,inconclusive antagonist,26.6011,-57.1444,SIGMA
7244,170464838,54704426,Inactive,0,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,5.30763,-71.5903,inconclusive agonist,4.216,66.1405,inconclusive antagonist,11.8823,-158.043,active antagonist,2.87233,-77.3528,Vitas
735,144207747,56638112,Inconclusive,30,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
8647,170466241,56649463,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,7.07783,38.5577,inactive,,0,Vitas
8744,170466338,56846451,Active,49,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Tocris
8286,170465880,56972160,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,1.9948,59.1659,inactive,,0,GVK
5167,144212179,57351929,Inactive,0,,,inconclusive agonist,inconclusive agonist,29.847,37.3161,inactive,,0,inconclusive agonist,,56.9435,inactive,,0,GVK
2868,144209880,57358854,Inactive,0,,,active antagonist,active antagonist,26.6011,-87.5743,active agonist,28.7233,35.073,inconclusive antagonist,7.49722,-65.3809,inactive,,0,SIGMA
2852,144209864,57369982,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,13.3322,42.8437,inactive,,0,"Prestwick Chemical, Inc."
182,144207154,57372628,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,22.3821,63.8537,inactive,,0,Tocris
5784,144212796,57483158,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,1.22649,38.7375,inactive,,0,Sequoia
8431,170466025,57823090,Inconclusive,20,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,29.847,-92.7189,inactive,,0,inconclusive antagonist,26.6011,-84.0157,inconclusive antagonist,,-41.8368,Chembridge
6657,144213669,59086459,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
7442,170465036,60196260,Inactive,0,,,inconclusive antagonist (cytotoxic),active antagonist,20.3345,-74.1411,inconclusive,,,active antagonist,28.1774,-149.573,active antagonist,26.6011,-120.305,SIGMA
7360,170464954,60196261,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,4.09593,inconclusive agonist,,,GVK
